MthCalDt,vwretd
20100129,-0.037186
20100226,0.034754
20100331,0.063688
20100430,0.020039
20100528,-0.079267
20100630,-0.050802
20100730,0.070384
20100831,-0.042887
20100930,0.091668
20101029,0.038606
20101130,0.005121
20101231,0.067213
20110131,0.019190
20110228,0.038168
20110331,0.003343
20110429,0.028602
20110531,-0.014957
20110630,-0.018453
20110729,-0.022550
20110831,-0.057597
20110930,-0.085030
20111031,0.114215
20111130,-0.006273
20111230,0.003671
20120131,0.054140
20120229,0.041253
20120330,0.024039
20120430,-0.006840
20120531,-0.065641
20120629,0.038181
20120731,0.010306
20120831,0.026336
20120928,0.026532
20121031,-0.014064
20121130,0.006219
20121231,0.012580
20130131,0.054189
20130228,0.008284
20130328,0.035320
20130430,0.014942
20130531,0.019155
20130628,-0.015071
20130731,0.052690
20130830,-0.025761
20130930,0.037514
20131031,0.039908
20131129,0.024973
20131231,0.026159
20140131,-0.030047
20140228,0.046225
20140331,0.004544
20140430,0.001569
20140530,0.020260
20140630,0.027991
20140731,-0.020567
20140829,0.040225
20140930,-0.025209
20141031,0.021174
20141128,0.021114
20141231,-0.003662
20150130,-0.027207
20150227,0.055974
20150331,-0.010410
20150430,0.008776
20150529,0.010290
20150630,-0.019238
20150731,0.012110
20150831,-0.059982
20150930,-0.033793
20151030,0.074006
20151130,0.002410
20151231,-0.022227
20160129,-0.057148
20160229,0.000613
20160331,0.070554
20160429,0.011725
20160531,0.014354
20160630,0.002929
20160729,0.038849
20160831,0.002806
20160930,0.003015
20161031,-0.021566
20161130,0.040543
20161230,0.018772
20170131,0.022173
20170228,0.032623
20170331,0.002064
20170428,0.009657
20170531,0.009335
20170630,0.009580
20170731,0.020294
20170831,0.001593
20170929,0.023758
20171031,0.019294
20171130,0.027260
20171229,0.012129
20180131,0.050638
20180228,-0.039481
20180329,-0.018445
20180430,0.004692
20180531,0.026164
20180629,0.005365
20180731,0.031604
20180831,0.030233
20180928,0.000425
20181031,-0.074045
20181130,0.018512
20181231,-0.089890
20190131,0.088294
20190228,0.032724
20190329,0.012962
20190430,0.037893
20190531,-0.061679
20190628,0.067279
20190731,0.011854
20190830,-0.020339
20190930,0.016033
20191031,0.019256
20191129,0.034997
20191231,0.028491
20200131,-0.001728
20200228,-0.077918
20200331,-0.141733
20200430,0.129674
20200529,0.053739
20200630,0.025299
20200731,0.055529
20200831,0.068442
20200930,-0.035056
20201030,-0.020178
20201130,0.123707
20201231,0.045048
20210129,-0.000631
20210226,0.029196
20210331,0.030573
20210430,0.048190
20210528,0.007092
20210630,0.023422
20210730,0.011828
20210831,0.027146
20210930,-0.042243
20211029,0.064651
20211130,-0.018350
20211231,0.033341
20220131,-0.059822
20220228,-0.021838
20220331,0.030506
