MthCalDt,vwretd,vwTotVal,
20020131,-0.015966,13623211908,2002
20020228,-0.0217,13319767633,2002
20020328,0.044698,13941476733,2002
20020430,-0.0496,13268193839,2002
20020531,-0.01051,13220221071,2002
20020628,-0.070259,12329875518,2002
20020731,-0.081125,11336304184,2002
20020830,0.007949,11398403089,2002
20020930,-0.099923,10241738647,2002
20021031,0.07494,11003231394,2002
20021129,0.061282,11659670592,2002
20021231,-0.053334,11029741676,2002
20030131,-0.023367,10757369922,2003
20030228,-0.015417,10568696060,2003
20030331,0.010321,10672373093,2003
20030430,0.082768,11542163842,2003
20030530,0.063471,12251384864,2003
20030630,0.016346,12448794315,2003
20030731,0.023112,12723890198,2003
20030829,0.024965,13039377594,2003
20030930,-0.00912,12959560124,2003
20031031,0.060361,13736339466,2003
20031128,0.016594,13967735949,2003
20031231,0.045476,14581819395,2003
20040130,0.023042,14913081634,2004
20040227,0.015443,15166341960,2004
20040331,-0.010662,15037206155,2004
20040430,-0.024222,14677486519,2004
20040528,0.014068,14886272897,2004
20040630,0.021611,15187691897,2004
20040730,-0.037698,14611313265,2004
20040831,0.002703,14639197459,2004
20040930,0.020556,14920472020,2004
20041029,0.017806,15142568329,2004
20041130,0.048214,15892686596,2004
20041231,0.03517,16455382219,2004
20050131,-0.026546,16003221090,2005
20050228,0.022646,16348813977,2005
20050331,-0.016944,16073145028,2005
20050429,-0.025206,15652628576,2005
20050531,0.037954,16208529918,2005
20050630,0.011529,16379346471,2005
20050729,0.043357,17064941889,2005
20050831,-0.005958,16915944518,2005
20050930,0.0106,17079651139,2005
20051031,-0.020866,16699604831,2005
20051130,0.040326,17357113706,2005
20051230,0.003458,17375549638,2005
20060131,0.040072,17999559778,2006
20060228,-0.001639,17988632901,2006
20060331,0.019065,18309606934,2006
20060428,0.013,18447495847,2006
20060531,-0.031032,17856804356,2006
20060630,-0.000391,17830180781,2006
20060731,-0.001912,17766489260,2006
20060831,0.025041,18104286803,2006
20060929,0.019425,18424728416,2006
20061031,0.037153,19076842394,2006
20061130,0.023736,19461563020,2006
20061229,0.010857,19619322184,2006
20070131,0.019387,19944053531,2007
20070228,-0.014006,19605264066,2007
20070330,0.012954,19860565640,2007
20070430,0.039834,20591721157,2007
20070531,0.038953,21313415644,2007
20070629,-0.014747,20948255340,2007
20070731,-0.03179,20203332083,2007
20070831,0.011593,20380196041,2007
20070928,0.040822,21127714830,2007
20071031,0.02591,21531420898,2007
20071130,-0.049362,20313135367,2007
20071231,-0.004405,20221926393,2007
20080131,-0.062218,18903016961,2008
20080229,-0.021697,18381105761,2008
20080331,-0.010444,18186786434,2008
20080430,0.051199,19070025950,2008
20080530,0.023935,19466821831,2008
20080630,-0.078436,17930526682,2008
20080731,-0.013413,17667684534,2008
20080829,0.010597,17817620575,2008
20080930,-0.098172,16076541912,2008
20081031,-0.184838,13038438492,2008
20081128,-0.084686,11871833220,2008
20081231,0.022231,12140763397,2008
20090130,-0.077475,11172489216,2009
20090227,-0.100175,9984569629,2009
20090331,0.086813,10732522471,2009
20090430,0.109483,11898258476,2009
20090529,0.067797,12744913112,2009
20090630,-0.00302,12743752573,2009
20090731,0.081792,13795579816,2009
20090831,0.031514,14270576089,2009
20090930,0.045288,14995594713,2009
20091030,-0.028079,14534048205,2009
20091130,0.057086,15343940642,2009
20091231,0.028486,15821841012,2009
20100129,-0.037186,15212007495,2010
20100226,0.034754,15712602039,2010
20100331,0.063688,16756947596,2010
20100430,0.020039,17094149414,2010
20100528,-0.079267,15720143606,2010
20100630,-0.050802,14866834863,2010
20100730,0.070384,15878676524,2010
20100831,-0.042887,15154372526,2010
20100930,0.091668,16533963718,2010
20101029,0.038606,17181005305,2010
20101130,0.005121,17353262056,2010
20101231,0.067213,18509211819,2010
20110131,0.01919,18930105163,2011
20110228,0.038168,19620944894,2011
20110331,0.003343,19695999383,2011
20110429,0.028602,20216241023,2011
20110531,-0.014957,19869074728,2011
20110630,-0.018453,19451866605,2011
20110729,-0.02255,18993937838,2011
20110831,-0.057597,17830688837,2011
20110930,-0.08503,16255929177,2011
20111031,0.114215,18064548586,2011
20111130,-0.006273,17863640083,2011
20111230,0.003671,17892318826,2011
20120131,0.05414,18861065259,2012
20120229,0.041253,19589828293,2012
20120330,0.024039,20064607639,2012
20120430,-0.00684,19922447312,2012
20120531,-0.065641,18570626428,2012
20120629,0.038181,19247477209,2012
20120731,0.010306,19420819265,2012
20120831,0.026336,19857242636,2012
20120928,0.026532,20415173646,2012
20121031,-0.014064,20102147596,2012
20121130,0.006219,20159604316,2012
20121231,0.01258,20371094834,2012
20130131,0.054189,21497921138,2013
20130228,0.008284,21598104463,2013
20130328,0.03532,22381977337,2013
20130430,0.014942,22706261421,2013
20130531,0.019155,23132739658,2013
20130628,-0.015071,22725032102,2013
20130731,0.05269,23900163654,2013
20130830,-0.025761,23240522128,2013
20130930,0.037514,24112742136,2013
20131031,0.039908,25041127943,2013
20131129,0.024973,25646164400,2013
20131231,0.026159,26313122723,2013
20140131,-0.030047,25511799033,2014
20140228,0.046225,26678363722,2014
20140331,0.004544,26821611926,2014
20140430,0.001569,26904662582,2014
20140530,0.02026,27388550847,2014
20140630,0.027991,28146714903,2014
20140731,-0.020567,27568082752,2014
20140829,0.040225,28614310080,2014
20140930,-0.025209,27873314180,2014
20141031,0.021174,28463522149,2014
20141128,0.021114,29060581474,2014
20141231,-0.003662,28985498040,2014
20150130,-0.027207,28086170322,2015
20150227,0.055974,29575873786,2015
20150331,-0.01041,29206413961,2015
20150430,0.008776,29441931354,2015
20150529,0.01029,29633839557,2015
20150630,-0.019238,29029016566,2015
20150731,0.01211,29366871131,2015
20150831,-0.059982,27495410267,2015
20150930,-0.033793,26492899220,2015
20151030,0.074006,28385234669,2015
20151130,0.00241,28361812886,2015
20151231,-0.022227,27668410689,2015
20160129,-0.057148,26013134343,2016
20160229,0.000613,25809998279,2016
20160331,0.070554,27537208766,2016
20160429,0.011725,27819854173,2016
20160531,0.014354,28066634418,2016
20160630,0.002929,28103151368,2016
20160729,0.038849,29174922230,2016
20160831,0.002806,29190388059,2016
20160930,0.003015,29174188072,2016
20161031,-0.021566,28535250554,2016
20161130,0.040543,29640157836,2016
20161230,0.018772,30152343828,2016
20170131,0.022173,30853591462,2017
20170228,0.032623,31805160935,2017
20170331,0.002064,31837669630,2017
20170428,0.009657,32144352436,2017
20170531,0.009335,32423268259,2017
20170630,0.00958,32689344605,2017
20170731,0.020294,33227846961,2017
20170831,0.001593,33127967418,2017
20170929,0.023758,33839081292,2017
20171031,0.019294,34469618168,2017
20171130,0.02726,35329234962,2017
20171229,0.012129,35727169719,2017
20180131,0.050638,37599134562,2018
20180228,-0.039481,36014120576,2018
20180329,-0.018445,35241121163,2018
20180430,0.004692,35370361583,2018
20180531,0.026164,36263281330,2018
20180629,0.005365,36288942769,2018
20180731,0.031604,37417996119,2018
20180831,0.030233,38384779066,2018
20180928,0.000425,38308557330,2018
20181031,-0.074045,35448627482,2018
20181130,0.018512,35936120356,2018
20181231,-0.08989,32574916282,2018
20190131,0.088294,35370181009,2019
20190228,0.032724,36362507033,2019
20190329,0.012962,36757421815,2019
20190430,0.037893,38105983048,2019
20190531,-0.061679,35726100016,2019
20190628,0.067279,38172922524,2019
20190731,0.011854,38562579502,2019
20190830,-0.020339,37654795677,2019
20190930,0.016033,38169253147,2019
20191031,0.019256,38822254847,2019
20191129,0.034997,40069781724,2019
20191231,0.028491,41157251527,2019
20200131,-0.001728,41059768442,2020
20200228,-0.077918,37777537015,2020
20200331,-0.141733,32333523518,2020
20200430,0.129674,36503291141,2020
20200529,0.053739,38384816876,2020
20200630,0.025299,39436120425,2020
20200731,0.055529,41718217739,2020
20200831,0.068442,44609402211,2020
20200930,-0.035056,43121777593,2020
20201030,-0.020178,42298181422,2020
20201130,0.123707,47542009824,2020
20201231,0.045048,49839561951,2020
20210129,-0.000631,49930875526,2021
20210226,0.029196,51546805133,2021
20210331,0.030573,53473752259,2021
20210430,0.04819,56258381756,2021
20210528,0.007092,56748766009,2021
20210630,0.023422,58260341109,2021
20210730,0.011828,59040495861,2021
20210831,0.027146,60680121766,2021
20210930,-0.042243,58233532163,2021
20211029,0.064651,62099642073,2021
20211130,-0.01835,61045499600,2021
20211231,0.033341,63177967076,2021
20220131,-0.059822,59374101961,2022
20220228,-0.021838,58049499646,2022
20220331,0.030506,59709768448,2022
